,ZIP_CODE,A10_CRD_OBESITY_mean,A12_CRD_CSMOKING_mean,A17_UNEMPLOY_mean,A1_PPOV_mean,A27_PM25_mean,AFR,AMR,C1a,C1b,C1c,C1d,C2a,C2b,C2i,C2c,C2d,C2e,C2f,C2g,C2h,C3a,C3b,C4a,C4b,EAS,EUR,EUR-AFR,EUR-AMR,EUR-EAS,Others
0,38127,52.195443037974684,29.511645569620253,11.373164556962026,37.351417721518985,93.05316455696203,0.4675,0.0,0.0175,0.0075,0.035,0.01,0.125,0.315,0.035,0.2025,0.0325,0.0425,0.0475,0.0625,0.0475,0.02,0.0,0.0,0.0,0.0,0.04,0.36,0.0175,0.0,0.115
1,38109,52.569375,26.9215625,17.523125,30.4845625,95.203125,0.4437869822485207,0.0,0.005917159763313609,0.005917159763313609,0.008875739644970414,0.0029585798816568047,0.20710059171597633,0.2485207100591716,0.029585798816568046,0.30177514792899407,0.05325443786982249,0.04437869822485207,0.01775147928994083,0.05029585798816568,0.01775147928994083,0.005917159763313609,0.0,0.0,0.0,0.0,0.014792899408284023,0.40532544378698226,0.005917159763313609,0.0,0.1301775147928994
2,38128,48.96595744680851,25.00567375886525,7.6177304964539,26.327056737588652,91.52836879432624,0.458041958041958,0.0,0.013986013986013986,0.02097902097902098,0.04895104895104895,0.01048951048951049,0.10839160839160839,0.34265734265734266,0.027972027972027972,0.2062937062937063,0.038461538461538464,0.027972027972027972,0.03496503496503497,0.045454545454545456,0.024475524475524476,0.04895104895104895,0.0,0.0,0.0,0.0,0.06643356643356643,0.3111888111888112,0.027972027972027972,0.0,0.13636363636363635
3,38116,50.166666666666664,22.990650406504063,12.21673469387755,29.72735772357724,94.45934959349593,0.4900398406374502,0.0,0.00398406374501992,0.0,0.01195219123505976,0.00796812749003984,0.16334661354581673,0.30278884462151395,0.03187250996015936,0.2589641434262948,0.0398406374501992,0.043824701195219126,0.027888446215139442,0.07171314741035857,0.027888446215139442,0.00796812749003984,0.0,0.0,0.0,0.0,0.01593625498007968,0.3665338645418327,0.00398406374501992,0.0,0.12350597609561753
4,38654,38.42025862068966,13.48448275862069,3.806896551724138,5.177629310344828,58.991379310344826,0.08943089430894309,0.0040650406504065045,0.15040650406504066,0.12195121951219512,0.27235772357723576,0.17073170731707318,0.044715447154471545,0.06504065040650407,0.012195121951219513,0.08536585365853659,0.0,0.02032520325203252,0.016260162601626018,0.008130081300813009,0.0040650406504065045,0.016260162601626018,0.0,0.0,0.012195121951219513,0.012195121951219513,0.6422764227642277,0.1951219512195122,0.02032520325203252,0.0040650406504065045,0.032520325203252036
5,38002,35.971428571428575,15.040625,4.03125,5.666383928571428,44.47767857142857,0.06167400881057269,0.004405286343612335,0.1894273127753304,0.1013215859030837,0.3788546255506608,0.14977973568281938,0.022026431718061675,0.06607929515418502,0.004405286343612335,0.03524229074889868,0.0,0.0,0.00881057268722467,0.0,0.00881057268722467,0.02643171806167401,0.004405286343612335,0.0,0.004405286343612335,0.004405286343612335,0.7841409691629956,0.09251101321585903,0.02643171806167401,0.0,0.02643171806167401
6,72301,44.12,24.64181818181818,10.308636363636364,24.620272727272727,84.60454545454546,0.43243243243243246,0.0,0.03153153153153153,0.03153153153153153,0.13063063063063063,0.07657657657657657,0.03153153153153153,0.07207207207207207,0.02252252252252252,0.12612612612612611,0.036036036036036036,0.34684684684684686,0.02252252252252252,0.04954954954954955,0.0045045045045045045,0.018018018018018018,0.0,0.0,0.0,0.0,0.23423423423423423,0.23423423423423423,0.03153153153153153,0.0,0.06756756756756757
7,38671,42.30467289719626,17.815420560747665,5.747846889952153,17.61014018691589,78.60280373831776,0.1926605504587156,0.0,0.0963302752293578,0.07339449541284404,0.25688073394495414,0.10550458715596331,0.06880733944954129,0.08256880733944955,0.01834862385321101,0.10550458715596331,0.03211009174311927,0.05045871559633028,0.009174311926605505,0.04128440366972477,0.013761467889908258,0.045871559633027525,0.0,0.0,0.0,0.0,0.47706422018348627,0.23394495412844038,0.05045871559633028,0.0,0.045871559633027525
8,38632,37.288383838383844,15.206060606060607,3.810734463276836,6.469191919191919,49.15151515151515,0.06341463414634146,0.0,0.22439024390243903,0.07317073170731707,0.3853658536585366,0.1902439024390244,0.01951219512195122,0.014634146341463415,0.004878048780487805,0.05853658536585366,0.004878048780487805,0.0,0.0,0.004878048780487805,0.0,0.014634146341463415,0.0,0.0,0.004878048780487805,0.004878048780487805,0.848780487804878,0.04878048780487805,0.024390243902439025,0.0,0.00975609756097561
9,38118,49.947916666666664,25.392187500000002,10.633333333333333,31.288177083333334,94.41145833333333,0.48186528497409326,0.010362694300518135,0.015544041450777202,0.015544041450777202,0.0,0.0051813471502590676,0.12953367875647667,0.15025906735751296,0.02072538860103627,0.3471502590673575,0.03626943005181347,0.04145077720207254,0.05699481865284974,0.07772020725388601,0.04145077720207254,0.05181347150259067,0.010362694300518135,0.0,0.0,0.0,0.015544041450777202,0.3316062176165803,0.031088082901554404,0.0,0.12953367875647667
