,Ancestry,GENDER_MALE,GENDER_FEMALE,GENDER_UNKNOWN,A19_SES_RISK_High,A19_SES_RISK_Medium-High,A19_SES_RISK_Low-Medium,A19_SES_RISK_Low,A9_SVI_High,A9_SVI_Medium-High,A9_SVI_Low-Medium,A9_SVI_Low,A13_URBAN_Urban,A13_URBAN_Rural,A14_METRO_Metropolitan,A14_METRO_Non-metropolitan,Influenza virus_No,Influenza virus_Yes,Dermatitis_No,Dermatitis_Yes,Asthma_No,Asthma_Yes,Epilepsy_No,Epilepsy_Yes,A1_PPOV_mean,A1_PPOV_std,A1_PPOV_count,A17_UNEMPLOY_mean,A17_UNEMPLOY_std,A17_UNEMPLOY_count,A27_PM25_mean,A27_PM25_std,A27_PM25_count,A10_CRD_OBESITY_mean,A10_CRD_OBESITY_std,A10_CRD_OBESITY_count,A12_CRD_CSMOKING_mean,A12_CRD_CSMOKING_std,A12_CRD_CSMOKING_count,Distinct_P_FIN_Count_mean,Distinct_P_FIN_Count_std,Distinct_P_FIN_Count_count
0,AFR,0.5095201827875095,0.4497334348819497,0.040746382330540745,0.7243923611111112,0.16276041666666666,0.08550347222222222,0.02734375,0.6514756944444444,0.20703125,0.10677083333333333,0.034722222222222224,0.8569570871261378,0.14304291287386217,0.8274815778066753,0.17251842219332467,0.7040115648717022,0.2959884351282978,0.9085652331044453,0.09143476689555476,0.8333935670401157,0.16660643295988434,0.8988073726057102,0.10119262739428984,27.318697916666665,14.461568337845144,2304,11.162758924636403,7.47189629103084,2269,83.27178153446035,17.31690981550972,2307,47.62562879444926,6.021098671670351,2306,24.064180398959238,6.007827912483049,2306,20.20461215932914,28.74093196112874,2385
1,AMR,0.4166666666666667,0.3333333333333333,0.25,0.5454545454545454,0.13636363636363635,0.13636363636363635,0.18181818181818182,0.5454545454545454,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.6818181818181818,0.3181818181818182,0.8181818181818182,0.18181818181818182,0.8333333333333334,0.16666666666666666,0.9722222222222222,0.027777777777777776,1.0,,0.9166666666666666,0.08333333333333333,20.175454545454546,17.040477225396714,22,6.795238095238095,4.4940489750865185,21,72.77272727272727,24.70768497795164,22,41.28181818181818,8.808688155053906,22,20.75,7.786603269474471,22,17.47826086956522,19.38337986574485,23
2,EAS,0.40476190476190477,0.5238095238095238,0.07142857142857142,0.11764705882352941,0.08823529411764706,0.23529411764705882,0.5588235294117647,0.029411764705882353,0.058823529411764705,0.3235294117647059,0.5882352941176471,0.8235294117647058,0.17647058823529413,0.9117647058823529,0.08823529411764706,0.8095238095238095,0.19047619047619047,0.9523809523809523,0.047619047619047616,0.9047619047619048,0.09523809523809523,0.8571428571428571,0.14285714285714285,6.239411764705882,6.395391779017929,34,3.8999999999999995,2.614263758690006,33,49.61764705882353,21.29449310784698,34,34.90882352941177,4.094517224441457,34,13.602941176470589,4.135836384879791,34,28.083333333333332,32.77662494609753,36
3,EUR,0.5177622841965471,0.45650730411686585,0.025730411686586987,0.19703230653643877,0.35368144252441774,0.2682193839218633,0.18106686701728025,0.17468069120961682,0.3174305033809166,0.2736664162283997,0.23422238918106686,0.47088655146506386,0.5291134485349361,0.6277235161532683,0.3722764838467318,0.7454366058214109,0.25456339417858903,0.970399605328071,0.02960039467192896,0.9120210491695445,0.08797895083045552,0.8562736392040783,0.14372636079592171,13.062528174305033,9.033846635876458,5324,5.387695879280325,3.7239980226656586,5169,50.141810668670175,20.324282227062888,5324,38.832438016528926,4.514265445725809,5324,18.406949661908342,4.9014373869415095,5324,15.643818181818181,24.966663497568074,5500
4,EUR-AFR,0.5203025477707006,0.4518312101910828,0.02786624203821656,0.59094942324756,0.21384205856255545,0.13309671694764863,0.062111801242236024,0.5261756876663709,0.2595385980479148,0.1419698314108252,0.07231588287488909,0.790150842945874,0.209849157054126,0.8052351375332741,0.1947648624667258,0.7148854961832061,0.2851145038167939,0.9080152671755726,0.09198473282442748,0.8274809160305343,0.17251908396946564,0.900381679389313,0.09961832061068703,22.640421472937003,13.85840607225665,2254,9.441348314606742,6.789534369764153,2225,76.03504880212955,21.929984126591542,2254,45.38620230700976,6.31173112518298,2254,22.297249334516415,5.952841114175176,2254,18.85862966175195,26.38845400307365,2306
5,EUR-AMR,0.544392523364486,0.34579439252336447,0.10981308411214953,0.4205298013245033,0.25496688741721857,0.19536423841059603,0.1291390728476821,0.39403973509933776,0.25165562913907286,0.20860927152317882,0.1456953642384106,0.6986754966887417,0.30132450331125826,0.7715231788079471,0.22847682119205298,0.782608695652174,0.21739130434782608,0.9748283752860412,0.02517162471395881,0.919908466819222,0.08009153318077804,0.9244851258581236,0.07551487414187644,16.948576158940398,11.392989201668282,302,6.312162162162163,4.657829645244958,296,63.50993377483444,24.097081487354934,302,41.36291390728477,5.690997914396596,302,20.024503311258275,5.3630886485446485,302,16.618589743589745,24.082896238873982,312
6,EUR-EAS,0.6923076923076923,0.3076923076923077,,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.45454545454545453,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.45454545454545453,0.7272727272727273,0.2727272727272727,0.8181818181818182,0.18181818181818182,0.7692307692307693,0.23076923076923078,0.9230769230769231,0.07692307692307693,0.9230769230769231,0.07692307692307693,0.9230769230769231,0.07692307692307693,11.852727272727272,10.995911140882406,11,4.1,3.256446597818617,10,49.81818181818182,21.71091053741497,11,37.50909090909091,5.3744682612244645,11,15.863636363636363,6.3071820533852865,11,6.444444444444445,9.193898943200201,9
7,Others,0.5291529152915292,0.41034103410341033,0.06050605060506051,0.6344086021505376,0.18951612903225806,0.12365591397849462,0.05241935483870968,0.5698924731182796,0.2325268817204301,0.13172043010752688,0.06586021505376344,0.8523489932885906,0.1476510067114094,0.8442953020134228,0.15570469798657718,0.7208067940552016,0.2791932059447983,0.9267515923566879,0.0732484076433121,0.8662420382165605,0.1337579617834395,0.9087048832271762,0.09129511677282377,23.73657258064516,14.830874863137051,744,9.878018995929445,7.278831718001627,737,78.73557046979866,20.42080517796326,745,45.805503355704694,6.449611082323331,745,22.670201342281878,6.138175807546822,745,20.35278858625162,30.278834952979793,771
