variable,category,subcommunity,community,prop,min_ci,max_ci
Ancestry,Others,C1_3,C1,0.007377598926894702,0.004124456127270076,0.013162726675242247
Ancestry,EUR-EAS,C1_3,C1,0.002012072434607646,0.0006845045619102118,0.0058992030362727665
Ancestry,AFR,C2_0,C2,0.4838012958963283,0.4517468178463405,0.5159896224247765
Ancestry,EUR-AFR,C2_0,C2,0.4038876889848812,0.3727434170292705,0.43582612857935776
Ancestry,Others,C2_0,C2,0.10907127429805616,0.09058459509543568,0.13078816344752475
Ancestry,,C2_0,C2,0.0032397408207343412,0.0011023827860822824,0.009481785528176835
Ancestry,AFR,C2_1,C2,0.4593769089798412,0.43535864247875017,0.4835853920947271
Ancestry,EUR-AFR,C2_1,C2,0.41783750763591937,0.3941648017463168,0.44189493735342317
Ancestry,Others,C2_1,C2,0.12034208918753818,0.10546285164920381,0.13699906545479937
Ancestry,,C2_1,C2,0.002443494196701283,0.0009506094612218184,0.006266174901144421
Ancestry,AFR,C2_10,C2,0.46629213483146065,0.3944920234977268,0.5395164762075111
Ancestry,EUR-AFR,C2_10,C2,0.3539325842696629,0.287446132555521,0.4265906995005101
Ancestry,Others,C2_10,C2,0.15168539325842698,0.10638855522742538,0.21169927506003358
Ancestry,,C2_10,C2,0.028089887640449437,0.012056556667503496,0.06406243920582802
Ancestry,AFR,C2_2,C2,0.48656716417910445,0.4598819189849887,0.5133292094694363
Ancestry,EUR-AFR,C2_2,C2,0.3962686567164179,0.3704118798331623,0.4227185010093418
Ancestry,Others,C2_2,C2,0.1126865671641791,0.09685093859765134,0.13073659850493577
Ancestry,,C2_2,C2,0.004477611940298508,0.002053668660956942,0.009734625435609202
Ancestry,AFR,C2_3,C2,0.577639751552795,0.5230847250851566,0.6303640672114684
Ancestry,EUR-AFR,C2_3,C2,0.3167701863354037,0.2683706496806921,0.36949020049927256
Ancestry,Others,C2_3,C2,0.09316770186335403,0.0660409020554743,0.12988742631021008
Ancestry,,C2_3,C2,0.012422360248447204,0.004841051210117594,0.03150053316707672
Ancestry,AFR,C2_4,C2,0.48956356736242884,0.44711357125461704,0.5321646164382842
Ancestry,EUR-AFR,C2_4,C2,0.38140417457305503,0.34093261423114984,0.4235922459154551
Ancestry,Others,C2_4,C2,0.11764705882352941,0.09286625491719112,0.14796189419546318
Ancestry,,C2_4,C2,0.011385199240986717,0.00522802572742327,0.024614398076589078
Ancestry,AFR,C2_5,C2,0.4782608695652174,0.4145913117750078,0.5426446975578056
Ancestry,EUR-AFR,C2_5,C2,0.4217391304347826,0.35971535684048356,0.48633427675764457
Ancestry,Others,C2_5,C2,0.09565217391304348,0.0640167888159581,0.14057298477436975
Ancestry,,C2_5,C2,0.004347826086956522,0.0007678910476641276,0.02421312174047964
Ancestry,AFR,C2_6,C2,0.5086705202312138,0.45618804047700834,0.560962578546001
Ancestry,EUR-AFR,C2_6,C2,0.3699421965317919,0.32075871236837916,0.42198200228648164
Ancestry,Others,C2_6,C2,0.10982658959537572,0.08106703919442837,0.14715510477015445
Ancestry,,C2_6,C2,0.011560693641618497,0.004504586933130127,0.029343874770680962
Ancestry,AFR,C2_9,C2,0.4975369458128079,0.42944271787806476,0.5657226647142183
Ancestry,EUR-AFR,C2_9,C2,0.33497536945812806,0.2736449082220437,0.4024357254609292
Ancestry,Others,C2_9,C2,0.10837438423645321,0.07266455378910974,0.15863127838391541
Ancestry,,C2_9,C2,0.059113300492610835,0.03413485824824487,0.10046862577044381
Ancestry,EUR-AMR,C3_1,C3,0.538160469667319,0.4948101574810224,0.5809412969469026
Ancestry,Others,C3_1,C3,0.3972602739726027,0.3557509603855499,0.44030281615465205
Ancestry,AMR,C3_1,C3,0.046966731898238745,0.03176166348883626,0.0689326083027206
Ancestry,,C3_1,C3,0.009784735812133072,0.0041864304656242385,0.022698731883339016
Ancestry,EAS,C3_1,C3,0.005870841487279843,0.0019985469401570385,0.017117235467480573
Ancestry,EUR-EAS,C3_1,C3,0.0019569471624266144,0.00034552390392660406,0.011000878562385366
Ancestry,,C3_2,C3,0.8034682080924855,0.7379374361226136,0.8558142603108048
Ancestry,Others,C3_2,C3,0.16184971098265896,0.11441561346871812,0.22397535336261568
Ancestry,EUR-AFR,C3_2,C3,0.023121387283236993,0.009027193027358965,0.057934426862983585
Ancestry,EUR,C3_2,C3,0.011560693641618497,0.003176039095965432,0.04116646854929451
Ancestry,,C4_0,C4,0.9763113367174281,0.9606326762869116,0.9858377790410279
Ancestry,EAS,C4_0,C4,0.011844331641285956,0.005748915780679388,0.024244951494238838
Ancestry,AMR,C4_0,C4,0.01015228426395939,0.004660892658348565,0.021970734988406473
Ancestry,EUR-AMR,C4_0,C4,0.001692047377326565,0.00029874269429985487,0.009521686811639205
Ancestry,EAS,C4_15,C4,0.6744186046511628,0.5251593250655096,0.7950688481822019
Ancestry,EUR-AMR,C4_15,C4,0.16279069767441862,0.08116524502857546,0.2997269533591824
Ancestry,AMR,C4_15,C4,0.13953488372093023,0.06555634267713946,0.2726387659442569
Ancestry,EUR-EAS,C4_15,C4,0.023255813953488372,0.004116981177419918,0.12059267861216882
GENDER,MALE,C1_0,C1,0.49829351535836175,0.4727276639136071,0.5238682930636461
GENDER,FEMALE,C1_0,C1,0.46552901023890786,0.4401093835872616,0.4911289473532563
GENDER,UNKNOWN,C1_0,C1,0.023890784982935155,0.01722767408061914,0.033044322573070405
GENDER,,C1_0,C1,0.012286689419795221,0.007785854310192897,0.019338649788819544
GENDER,MALE,C1_1,C1,0.5328874024526199,0.5001661566579438,0.5653281544395898
GENDER,FEMALE,C1_1,C1,0.43478260869565216,0.4026870713885639,0.4674343794858184
GENDER,UNKNOWN,C1_1,C1,0.024526198439241916,0.016251554215359655,0.036856117544026235
GENDER,,C1_1,C1,0.007803790412486065,0.003785157532628325,0.016020322143265864
GENDER,MALE,C1_2,C1,0.511496285815352,0.4930664523531571,0.5298949171561789
GENDER,FEMALE,C1_2,C1,0.4594977007428369,0.44119401722317714,0.47791131173623885
GENDER,UNKNOWN,C1_2,C1,0.02193137601697913,0.01714597080504954,0.028014309445177094
GENDER,,C1_2,C1,0.007074637424831978,0.00458441857528017,0.010902707232112233
GENDER,MALE,C1_3,C1,0.5157612340710932,0.49038618099389125,0.5410552774188262
GENDER,FEMALE,C1_3,C1,0.4426559356136821,0.41762301262224616,0.46798359613148416
GENDER,UNKNOWN,C1_3,C1,0.02749832327297116,0.02033410547701328,0.037091109341734076
GENDER,,C1_3,C1,0.014084507042253521,0.009230360118878789,0.02143616668904521
GENDER,MALE,C2_0,C2,0.5064794816414687,0.47431719646857506,0.5385882274229781
GENDER,FEMALE,C2_0,C2,0.398488120950324,0.36743583157979187,0.4303791941192089
GENDER,,C2_0,C2,0.04967602591792657,0.03744749762607558,0.06562554191098105
GENDER,UNKNOWN,C2_0,C2,0.04535637149028078,0.033728535501073964,0.06074088810828057
GENDER,MALE,C2_1,C2,0.4777031154551008,0.45358616037207666,0.5019244751456966
GENDER,FEMALE,C2_1,C2,0.43555284056200366,0.41171189519183726,0.4596955581540554
GENDER,,C2_1,C2,0.05070250458155162,0.041086970696634306,0.062421862819044466
GENDER,UNKNOWN,C2_1,C2,0.03604153940134392,0.028043698732739118,0.04621185402750292
GENDER,MALE,C2_10,C2,0.4606741573033708,0.3890512624208091,0.5339586539019685
GENDER,FEMALE,C2_10,C2,0.4438202247191011,0.3727834655058676,0.5172307006695289
GENDER,,C2_10,C2,0.07303370786516854,0.043174612835219436,0.12093305009779477
GENDER,UNKNOWN,C2_10,C2,0.02247191011235955,0.008772632252331075,0.056347780238540104
GENDER,MALE,C2_2,C2,0.4798507462686567,0.45319673311155717,0.5066199595700803
GENDER,FEMALE,C2_2,C2,0.43582089552238806,0.40949160169896565,0.4625171231388426
GENDER,,C2_2,C2,0.06044776119402985,0.04890063606860913,0.07450795613451958
GENDER,UNKNOWN,C2_2,C2,0.023880597014925373,0.01696585675519388,0.03351747401831395
GENDER,MALE,C2_3,C2,0.5124223602484472,0.45800209282916865,0.5665497139382915
GENDER,FEMALE,C2_3,C2,0.40683229813664595,0.3545798757827725,0.4612815734612773
GENDER,,C2_3,C2,0.040372670807453416,0.02374316096389121,0.06783998864008814
GENDER,UNKNOWN,C2_3,C2,0.040372670807453416,0.02374316096389121,0.06783998864008814
GENDER,MALE,C2_4,C2,0.4952561669829222,0.45275767556770025,0.5378233188381639
GENDER,FEMALE,C2_4,C2,0.4307400379506641,0.3891136048833017,0.4733689134423156
GENDER,,C2_4,C2,0.04554079696394687,0.03079140422611022,0.0668678598556799
GENDER,UNKNOWN,C2_4,C2,0.028462998102466792,0.017323339275183307,0.046427504667717924
GENDER,MALE,C2_5,C2,0.45652173913043476,0.39338846733307586,0.5210835513325508
GENDER,FEMALE,C2_5,C2,0.4391304347826087,0.37651292037005657,0.5037479057618208
GENDER,,C2_5,C2,0.05217391304347826,0.030094015905274992,0.08896777635067946
GENDER,UNKNOWN,C2_5,C2,0.05217391304347826,0.030094015905274992,0.08896777635067946
GENDER,MALE,C2_6,C2,0.5202312138728323,0.4676564315276367,0.5723616795260514
GENDER,FEMALE,C2_6,C2,0.3959537572254335,0.34583546282839406,0.4483571088954946
GENDER,,C2_6,C2,0.06358381502890173,0.042361037567842263,0.09439113827402443
GENDER,UNKNOWN,C2_6,C2,0.02023121387283237,0.009833683317329922,0.04116539740949044
GENDER,MALE,C2_9,C2,0.47783251231527096,0.41016919319657497,0.5463192501339736
GENDER,FEMALE,C2_9,C2,0.3645320197044335,0.30140764370339745,0.43268839887217725
GENDER,,C2_9,C2,0.11822660098522167,0.0807474401792938,0.1698868616245986
GENDER,UNKNOWN,C2_9,C2,0.03940886699507389,0.020101808990676866,0.07582473576627724
GENDER,MALE,C3_1,C3,0.5185909980430529,0.47529131801768554,0.5616132367036114
GENDER,FEMALE,C3_1,C3,0.2857142857142857,0.24825742975401494,0.3263690184584062
